Name: 湖南卫视, URL: http://123.56.129.203:8252/rtp/225.1.8.132:8064$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 湖南卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.103:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 湖南卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.52:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 江西卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.94:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: 江西卫视, URL: http://123.56.129.203:8252/rtp/225.1.1.9:8164$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 江西卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.145:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 江西卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.53:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 东南卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.103:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: 东南卫视, URL: http://123.56.129.203:8252/rtp/225.1.8.149:8112$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 东南卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.146:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 东南卫视, URL: http://120.55.49.231:4149/rtp/233.50.201.58:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
Name: 广东卫视, URL: http://122.9.151.210:2867/rtp/238.255.2.59:5999$贵州电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3275 ms
Name: 广东卫视, URL: http://123.56.129.203:8252/rtp/225.1.8.151:8132$北京电信组播源, Date: 2024-02-02, Resolution: None, Response Time: 3299 ms
Name: 广东卫视, URL: http://120.55.49.231:4149/rtp/233.50.200.187:5140$浙江电信组播源, Date: 2024-03-02, Resolution: None, Response Time: 3221 ms
